Tannierige	ADJ
voetstappe	NOUN
dui	VERB
aan	ADV
dat	SCONJ
sy	PRON
die	DET
kamer	NOUN
verlaat	VERB
.	PUNCT

Die	DET
gevoel	NOUN
was	AUX
asemrowend	ADV
lekker	ADJ
.	PUNCT

Die	DET
ou	NOUN
waarmee	SCONJ
jy	PRON
saamleef	VERB
is	AUX
nie	PART
jou	DET
man	NOUN
nie	PART
.	PUNCT

Wees	AUX
sommer	ADV
net	ADV
simpel	ADJ
as	SCONJ
dit	PRON
moet	AUX
.	PUNCT

Weereens	ADV
beklemtoon	VERB
Jesus	PROPN
'n	DET
daadwerklike	ADJ
keuse	NOUN
vir	ADP
en	CCONJ
verbintenis	NOUN
tot	ADP
Hom	PRON
.	PUNCT

Groep	PROPN
is	AUX
vanaand	ADV
byna	ADV
onvanpas	ADV
deftig	ADJ
met	ADP
hulle	DET
tafeldoek	NOUN
.	PUNCT

Daar	ADV
is	AUX
steeds	ADV
baie	DET
sulke	DET
mense	NOUN
.	PUNCT

Hierdie	DET
dogtertjie	NOUN
is	AUX
'n	DET
sleutelfiguur	NOUN
in	ADP
die	DET
verloop	NOUN
van	ADP
die	DET
verhaal	NOUN
.	PUNCT

Die	DET
hele	ADJ
rit	NOUN
duur	VERB
ongeveer	ADV
dertig	NUM
sekondes	NOUN
.	PUNCT

Hy	PRON
begin	VERB
sy	DET
restourasie	NOUN
,	PUNCT
maar	CCONJ
dit	PRON
neem	VERB
tyd	NOUN
.	PUNCT

Waar	ADV
kom	VERB
die	DET
goggas	NOUN
vandaan	ADV
en	CCONJ
wat	PRON
noem	VERB
jy	PRON
dit	PRON
?	PUNCT

Maar	CCONJ
dan	ADV
pak	VERB
'n	DET
verskriklike	ADJ
vertwyfeling	NOUN
jou	PRON
skielik	ADV
beet	ADV
.	PUNCT

Reeds	ADV
verskillende	ADJ
plantspesies	NOUN
is	AUX
in	ADP
die	DET
natuurreservaat	NOUN
aangeteken	VERB
.	PUNCT

Sy	DET
